id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet
HCM-CSHL-0186-C25	HCM-CSHL-0186-C25-85A	M	0.91	0.99	0.99	1	1	0.84502	1.7	1.93	1.93	1.92	1.933601719
HCM-CSHL-0187-C25	HCM-CSHL-0187-C25-85A	M	0.99	0.99	0.98	0.99	1	0.988203	1.6	1.57	3.08	3.05	3.094884414
HCM-CSHL-0189-C25	HCM-CSHL-0189-C25-85A	M	0.99	0.99	0.99	1	1	1	1.9	1.97	1.96	1.98	1.98553786
HCM-CSHL-0240-C18	HCM-CSHL-0240-C18-85A	M	1	0.99	0.99	1	1	0.240963	2	2.03	2.04	2.02	2.220331195
HCM-CSHL-0242-C18	HCM-CSHL-0242-C18-85A	M	1	0.99	0.95	0.99	0.99	0.949423	2.05	2.1	2.49	2.06	2.110660891
HCM-CSHL-0248-C19	HCM-CSHL-0248-C19-85A	M	0.98	0.99	0.98	1	0.99	1	2.9	2.8	3	2.8	2.794487311
HCM-CSHL-0255-C18	HCM-CSHL-0255-C18-85F	M	1	0.99	0.991675916	1	1	1	2	1.97	1.937132274	1.94	2.002830736
HCM-CSHL-0257-C18	HCM-CSHL-0257-C18-85A	M	0.96	0.99	0.99	1	1	0.924027	4.35	2.29	2.32	2.3	4.673155036
HCM-CSHL-0258-C18	HCM-CSHL-0258-C18-85D	M	0.99	0.99	0.99	1	1	0.986034	2.55	2.56	2.56	2.6	2.570708697
HCM-CSHL-0317-C18	HCM-CSHL-0317-C18-85A	M	1	0.99	0.99	1	1	0.995311	2	2.01	2	2.02	2.016806371
HCM-CSHL-0318-C18	HCM-CSHL-0318-C18-85B	M	0.97	0.99	0.99	1	NA	0.992374	3	2.89	2.81	2.9	2.905094312
HCM-CSHL-0323-C20	HCM-CSHL-0323-C20-85A	M	1	0.99	0.99	1	0.99	0.995503	2.4	2.48	2.47	2.46	2.451472767
HCM-CSHL-0368-D37	HCM-CSHL-0368-D37-85P	M	0.96	0.99	0.99	0.99	1	0.995043	2.05	2.1	2.39	2.1	2.110218824
HCM-CSHL-0372-C25	HCM-CSHL-0372-C25-85A	M	0.94	0.99	0.99	1	1	0.993011	1.7	1.86	1.89	1.86	1.841190984
HCM-CSHL-0373-C25	HCM-CSHL-0373-C25-85A	M	0.95	0.99	0.99	1	1	0.995265	1.8	1.63	1.67	1.62	3.372276981
HCM-CSHL-0379-C18	HCM-CSHL-0379-C18-85A	M	0.91	0.99	0.99	1	1	0.356455	1.95	2.05	2.07	2.04	2.356366796
HCM-CSHL-0380-C18	HCM-CSHL-0380-C18-85A	M	1	0.99	0.99	1	1	0.96761	1.95	2.05	2.44	2.04	2.067179695
HCM-CSHL-0382-C19	HCM-CSHL-0382-C19-85A	M	1	0.99	0.99	1	0.99	0.934082	2.45	2.53	2.53	2.54	5.143530696
HCM-CSHL-0383-C18	HCM-CSHL-0383-C18-85A	M	0.98	0.99	0.98	1	1	0.552723	2.8	2.77	2.75	2.74	6.514242551
