,case_id3,cell_type,Diagnosis_TCGA_HCMI_Code,umap1,umap2
TCGA-26-5136-01,,TCGA Tumor,GBM,1.24508169,-9.933311056
TCGA-GU-A42P-01,,TCGA Tumor,BLCA,-3.582436356,-0.530186426
TCGA-G7-6796-01,,TCGA Tumor,KIRP,-0.973556194,7.791597773
TCGA-E9-A54X-01,,TCGA Tumor,BRCA,5.471007791,-1.410934757
TARGET-30-PALCBW-01,,TCGA Tumor,NB,0.333450374,12.66650431
TCGA-AO-A0JB-01,,TCGA Tumor,BRCA,1.021383372,-0.463689338
TCGA-2F-A9KP-01,,TCGA Tumor,BLCA,-3.543483052,0.011763346
TCGA-A2-A1G1-01,,TCGA Tumor,BRCA,0.987592247,-1.459466647
TCGA-AC-A3W5-01,,TCGA Tumor,BRCA,4.10010263,-0.917959105
TCGA-A6-5661-01,,TCGA Tumor,COAD,-4.439147506,-3.461509298
TCGA-DJ-A1QF-01,,TCGA Tumor,THCA,11.02073809,-0.528922926
TCGA-N8-A4PO-01,,TCGA Tumor,UCS,0.849951771,6.961724211
TCGA-KL-8338-01,,TCGA Tumor,KICH,-3.539525065,5.101952959
TCGA-J4-A83N-01,,TCGA Tumor,PRAD,7.746650663,9.17258494
TCGA-XM-A8R9-01,,TCGA Tumor,THYM,-10.85904172,6.070470263
TCGA-CA-5797-01,,TCGA Tumor,COAD,-6.101658854,-3.261305879
TCGA-D3-A3C7-06,,TCGA Tumor,SKCM,4.98640677,3.39629357
TCGA-AL-3467-01,,TCGA Tumor,KIRP,-0.432015869,7.4430012
TCGA-A7-A13G-01,,TCGA Tumor,BRCA,3.323480096,-1.260263513
TCGA-V4-A9EW-01,,TCGA Tumor,UVM,6.633375612,4.3522815
TCGA-2G-AALY-01,,TCGA Tumor,TGCT,-1.686604771,5.183623243
TARGET-21-PARXYR-41,,TCGA Tumor,LAML,-5.190681014,-12.27046926
TCGA-14-1034-01,,TCGA Tumor,GBM,1.237775233,-9.795187544
TCGA-14-1034-02,,TCGA Tumor,GBM,1.233236697,-9.805159162
TARGET-21-PATKBK-41,,TCGA Tumor,LAML,-5.315086875,-12.32678087
TCGA-VS-A9UH-01,,TCGA Tumor,CESC,-6.164068732,0.683810104
TCGA-B0-4691-01,,TCGA Tumor,KIRC,6.023571935,-5.865599703
TCGA-CN-A6V3-01,,TCGA Tumor,HNSC,-6.402588877,1.54606073
TCGA-G3-AAV7-01,,TCGA Tumor,LIHC,0.20053209,3.393288065
TARGET-20-PARJYP-03,,TCGA Tumor,LAML,-4.398489985,-11.85385282
TCGA-CU-A3QU-01,,TCGA Tumor,BLCA,-3.587376628,-0.497606884
TCGA-ER-A19D-06,,TCGA Tumor,SKCM,4.94500443,3.374425102
TCGA-C8-A1HJ-01,,TCGA Tumor,BRCA,0.969203677,-1.470638226
TCGA-24-0966-01,,TCGA Tumor,OV,1.986339655,8.25053351
TCGA-AC-A3EH-01,,TCGA Tumor,BRCA,4.861701932,-1.221169065
TCGA-12-3652-01,,TCGA Tumor,GBM,1.297862556,-9.538754057
TCGA-A3-A6NN-01,,TCGA Tumor,KIRC,6.230121579,-6.792167734
TCGA-D8-A1Y1-01,,TCGA Tumor,BRCA,3.35586473,-1.291424941
TCGA-BR-8677-01,,TCGA Tumor,STAD,-2.942058358,-1.969957661
TCGA-24-2026-01,,TCGA Tumor,OV,1.710540381,7.895711828
TCGA-RY-A845-01,,TCGA Tumor,LGG,2.395055261,-10.49379213
TCGA-CJ-5689-01,,TCGA Tumor,KIRC,6.155859914,-5.371359896
TCGA-DK-AA6Q-01,,TCGA Tumor,BLCA,-5.296201739,1.889239122
TCGA-B0-5085-01,,TCGA Tumor,KIRC,6.355684724,-6.627864431
TCGA-EY-A1GP-01,,TCGA Tumor,UCEC,1.416980353,6.595430781
