,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
TCGA-E9-A1ND-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,-3.39039639,-0.901653599
TCGA-EE-A29T-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.044577565,3.399121691
TCGA-EL-A3CM-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.0977225,-0.394165944
TCGA-CM-5863-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.718788657,-3.507543634
TCGA-XR-A8TG-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.920242098,4.151316572
TCGA-A8-A08R-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.003753092,-1.567588281
TCGA-63-A5MW-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,0.799133864,0.959567536
TCGA-28-5213-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.242401269,-9.631485533
TCGA-24-0982-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.404925671,7.995583941
TCGA-EB-A5VU-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.276462999,3.919772555
TCGA-GF-A6C9-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,4.99267098,3.414842058
TCGA-GV-A3JW-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.534659419,-0.16485266
TCGA-DD-AAVW-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.662218806,3.807365824
TCGA-D5-6540-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-4.402522597,-3.528018068
TCGA-GM-A2DC-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.601527658,-1.693873476
TCGA-93-A4JN-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.322723064,-2.818552326
TCGA-H7-A76A-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.185092006,1.236078311
TCGA-10-0931-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.803378906,8.01392119
TCGA-AN-A04C-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.192914453,-0.94363458
TCGA-09-1670-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.710216847,8.492970873
TARGET-50-PAJMLZ-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.64568809,7.781198431
TCGA-2H-A9GR-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-3.940138373,-3.672888588
TCGA-60-2708-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.681284461,1.327106167
TCGA-KS-A4ID-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.13647601,0.337982376
TCGA-29-1688-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.830096569,8.521930147
TCGA-B8-A54J-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.357167688,-6.648340296
TCGA-VR-A8ET-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-6.52328876,1.271507193
TCGA-A2-A0YT-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.615558114,-1.602407049
TCGA-91-6847-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.574429068,-2.075896334
TCGA-B8-5551-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.039860215,-5.387294363
TCGA-24-1565-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.970547047,8.329547335
TCGA-FE-A3PC-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.37581584,0.413281549
TCGA-CF-A1HS-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-6.510547671,0.4992054
TCGA-14-0789-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.362771061,-9.152004789
TCGA-BP-4769-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,0.942322459,6.589287687
TCGA-25-1319-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.708191362,8.483285357
TCGA-22-4593-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.366544757,0.834201146
TCGA-K1-A42W-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,2.039581862,1.680820872
TCGA-85-7843-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.965409312,2.372652937
TCGA-20-1683-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.36810663,7.921540667
TCGA-60-2696-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.278591666,1.39374571
TCGA-55-6642-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.908285293,-1.996887993
TCGA-34-5240-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.373622927,2.342510868
TCGA-D7-8579-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.673429045,-1.985976766
TCGA-B0-4836-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.13265368,-5.39887483
TCGA-36-1575-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.474368658,7.842274119
TCGA-25-2391-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.756728378,8.530541826
TCGA-CU-A5W6-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.694024119,0.099986308
TCGA-BR-8683-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-5.52392343,-3.458370518
TCGA-CG-4443-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.01472095,-2.299875091
TCGA-ZQ-A9CR-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.104128871,-2.844102215
TCGA-S3-AA10-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.005033758,-1.543828915
TCGA-DX-A3UF-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.984756437,1.60384195
TCGA-09-0364-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.301103082,7.706567694
TCGA-BT-A20T-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.883812938,0.169089947
TCGA-33-6737-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-1.298509035,-2.180198978
TCGA-CV-7180-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.860226187,0.772499729
TCGA-D3-A3C1-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.098133054,3.460496594
TCGA-BH-A1EO-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.311856475,-1.277673196
TCGA-E2-A107-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.672287431,-1.226719927
TCGA-55-8203-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.717299971,-2.352027248
TCGA-A6-2686-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-4.157223258,-3.614422392
TCGA-T1-A6J8-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.940754023,4.058501173
TCGA-KB-A93H-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.92600635,-3.552891325
TCGA-CV-7416-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.862690005,0.635904003
TCGA-CJ-4891-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.09971663,-5.315816473
TCGA-KN-8427-01,,Kidney Cancer,TCGA Tumor,KICH,Kidney Cancer,1.104629901,1.200181533
TCGA-EW-A1J5-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.058503118,-1.507579159
TCGA-DD-A4NE-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.425737031,3.607623745
TCGA-C8-A131-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.083506074,-0.893035184
TCGA-29-1691-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.814135399,8.385424067
TCGA-FD-A6TC-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.60055736,-0.347417634
TCGA-GC-A3I6-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-5.565700087,1.252224017
TCGA-UF-A71A-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.4093366,2.342116524
TCGA-66-2771-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.833717379,2.327835013
TCGA-D9-A3Z4-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.288561311,3.632643152
TCGA-DM-A28F-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.973969016,-3.577236008
TCGA-VR-A8EP-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-6.162120852,2.083654572
TCGA-CC-A123-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.535725784,3.660976339
TCGA-D5-7000-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.466087374,-3.700694155
TCGA-RD-A8MV-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.772545848,-3.707898449
TCGA-A2-A04W-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.126629319,-0.915567707
TCGA-94-A5I4-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.44527534,2.524567295
TCGA-CV-7090-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.883472476,0.653795589
TCGA-85-A53L-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.444882426,1.525086809
TCGA-AO-A0JG-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.360278096,-1.490739297
TCGA-LD-A74U-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.520141092,-1.360954594
TARGET-50-PALDTE-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.579644713,7.71325152
TCGA-D3-A2JC-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.901355233,3.498524595
TCGA-CD-5801-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.781389746,-3.682356428
TCGA-E8-A414-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,10.96773478,-0.29876111
TCGA-MK-A4N7-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.56085345,0.041050256
TCGA-CN-6994-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.523793254,0.558273305
TCGA-B6-A0I5-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.40191361,-1.570202302
TCGA-BH-A0RX-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.297838133,-1.55472226
TCGA-HZ-A77Q-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.707512412,-2.001057218
TCGA-BH-A0DV-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.268791881,-1.271873664
TCGA-R6-A8W8-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-4.836501632,-3.541969608
TCGA-CW-6093-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.360741582,-6.39170463
TCGA-22-4594-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-1.142558965,-1.178888749
TCGA-44-7670-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.50991163,-2.788918327
TCGA-AK-3456-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.602725949,-5.217270922
TCGA-CA-5256-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.061979327,-3.645230364
TCGA-BA-A8YP-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.250848803,2.37350123
TCGA-A6-2682-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.075080428,-3.720995258
TCGA-CV-7421-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.048054251,1.003172208
TCGA-L5-A8NQ-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-6.540138755,1.200160671
TARGET-50-PAKJGM-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.596581015,7.730631281
TCGA-MP-A4TJ-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.725383911,-2.230967115
TCGA-KN-8419-01,,Kidney Cancer,TCGA Tumor,KICH,Kidney Cancer,-3.53418735,5.086308886
TCGA-CV-7255-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.730198893,0.585874487
TCGA-FD-A6TH-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-4.118067298,-0.675642144
TCGA-09-2044-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.622364011,8.459583689
TCGA-WK-A8Y0-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.126842525,1.169692804
TCGA-IB-AAUP-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.808750424,-2.190442871
TCGA-D7-8572-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.91824964,-2.033192705
TCGA-GM-A2DO-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.2469978,-1.776006292
TCGA-D3-A5GN-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.139940229,3.491995979
TCGA-60-2721-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-6.033412013,2.348076988
TCGA-CJ-4638-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.95249125,-5.910035204
TCGA-DD-A73G-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.464043055,3.587426115
TCGA-K4-A83P-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.996096644,-0.137344982
TCGA-B8-4148-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.304502931,-6.773702215
TCGA-DE-A2OL-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.56956431,0.771817673
TCGA-BT-A20N-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-4.036521945,0.288027797
TCGA-CN-5365-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.92275289,0.627676178
TCGA-FB-AAPS-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.430545602,-1.874819111
TCGA-CG-5722-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.823509249,-3.678056549
TCGA-38-6178-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.359467897,-2.867327045
TCGA-85-8052-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.350869689,2.399244953
TCGA-43-3920-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.535350356,0.621138979
TCGA-BH-A1ET-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.237513509,-1.001112174
TCGA-EB-A5FP-01,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.026891675,3.660072256
TCGA-AZ-6608-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.101236377,-3.715699266
TCGA-09-1667-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.665764418,8.443645884
TCGA-B5-A3FD-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.373435762,6.614757944
TCGA-A2-A3KC-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.612325635,-1.533195566
TCGA-IB-7651-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.707750354,-2.522645305
TCGA-66-2769-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.335065398,0.741022695
TCGA-E2-A15J-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.584608999,-1.268146705
TCGA-22-1000-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-6.033186469,1.027923573
TCGA-BP-5187-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.204212156,-5.801178049
TCGA-GM-A2DL-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.332378116,-1.289763759
TCGA-FS-A1ZP-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.621546712,4.332217146
TCGA-L5-A8NF-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-3.770498786,-3.675200533
TCGA-BP-4971-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.18698689,-5.729942869
TCGA-61-1736-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.775569167,8.409940172
TCGA-CW-6097-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.015251126,-5.75850923
TCGA-BB-4224-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.428203139,0.634409774
TCGA-52-7812-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-0.172618601,-3.107591699
TCGA-BP-4351-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.183053937,-6.189482282
TCGA-AG-3591-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-6.007533107,-3.776396107
TCGA-FR-A44A-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.943995919,3.625475336
TCGA-FP-A4BE-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.09673408,-3.566623281
TCGA-DD-AAEB-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.20957115,3.892695595
TCGA-MB-A8JL-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.753551569,1.093033363
TCGA-BP-5192-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.28173348,-6.840576242
TCGA-QC-A6FX-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.276243773,1.249243308
TCGA-HP-A5MZ-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.013680246,4.136372973
TCGA-BR-8380-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.550516639,-1.893231105
TCGA-B0-4697-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.315767732,-5.305368494
TCGA-CM-6678-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.094025645,-3.668095421
TCGA-B5-A11R-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.474039164,6.486466337
TCGA-DM-A285-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-5.593167815,-3.498662304
TCGA-77-8008-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.954330954,0.93629222
TCGA-C8-A27B-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,0.914950099,-1.559822987
TCGA-BR-A453-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.272792134,-1.75627489
TCGA-97-A4M0-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.239875469,-3.104405474
TCGA-AN-A0AS-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.690387454,-1.058311175
TCGA-FS-A4F9-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.94370791,3.515753676
TCGA-EL-A3ZR-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.56792971,0.806324233
TCGA-D8-A4Z1-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.554155317,-1.62098689
TCGA-49-6767-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,0.036462274,-2.598183225
TCGA-BA-4078-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-5.305485282,2.415140082
TCGA-A8-A06R-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.601555553,-1.311368655
TCGA-DX-A8BZ-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.387823191,1.289571811
TCGA-UY-A9PB-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-5.293238196,0.776198734
TCGA-D7-6518-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.456823621,-1.853263329
TCGA-AO-A1KP-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.400685277,-1.764804791
TCGA-FE-A3PD-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.5067515,0.159152132
TCGA-UB-A7MC-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.180736985,3.932668139
TCGA-ET-A39T-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,10.98643061,-0.583501111
TCGA-GE-A2C6-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.39510008,-0.139992859
TCGA-AG-4022-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-5.926144633,-3.657405447
TCGA-CJ-4895-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.095968213,-5.511355947
TCGA-ED-A8O6-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.366720956,3.528536726
TCGA-A3-3373-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.322085347,-6.736275743
TCGA-BJ-A18Y-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.58928248,0.769585658
TCGA-C8-A12P-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.076482263,-0.861260783
TCGA-A1-A0SF-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.70014235,-1.417543959
TCGA-E9-A1RC-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.856900659,-1.536972116
TCGA-DJ-A3V9-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.46785876,-0.030124474
TCGA-A2-A04N-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.701633897,-1.657179903
TCGA-55-1595-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.078497413,-2.952311825
TCGA-BH-A8FY-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.175645795,-1.578605603
TCGA-A8-A09Z-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,5.644773927,-1.671726297
TCGA-E7-A4IJ-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.590153966,-0.5193444
TCGA-A3-3313-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,5.666925397,-5.238449644
TCGA-D7-6527-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-3.804486785,-3.694737266
TCGA-CV-7415-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.616623912,0.911866356
TCGA-DD-A73D-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.273150411,3.900374581
TARGET-50-PAKSDG-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.601721797,7.737351347
TCGA-L7-A6VZ-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-3.796208415,-3.666273187
TCGA-CJ-4637-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.041625467,-5.448944162
TCGA-A8-A09V-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.514543023,-1.619057368
TCGA-GM-A3NY-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.398262706,-1.245821427
TCGA-BH-A5J0-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.962746587,-1.777268003
TCGA-E9-A1NG-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,3.360198703,-1.324649762
TCGA-61-2008-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.341276732,7.895039965
TCGA-61-2008-02,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.742118087,8.632200648
TCGA-QQ-A8VF-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,-3.960795913,6.76693051
TCGA-BP-4343-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.188781705,-5.298901628
TCGA-LN-A49L-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,0.786480006,-1.397649359
TCGA-AX-A3G4-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.383875337,6.673784662
TCGA-70-6722-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.433325324,1.056569983
TCGA-ER-A2NH-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.110995736,3.457047154
TCGA-CZ-5465-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.290976014,-6.811729502
TCGA-10-0926-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.285734859,7.752568651
TCGA-EO-A1Y7-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.418472614,6.574123789
TCGA-FY-A3RA-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,10.99382445,-0.607139479
TCGA-21-1070-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-6.116782222,1.462167908
TCGA-55-6978-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.017349872,-2.630837034
TCGA-28-5218-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,0.20614196,0.934293557
TCGA-MI-A75E-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.162924674,4.113999773
TCGA-W6-AA0S-01,,Bile Duct Cancer,TCGA Tumor,CHOL,Bile Duct Cancer,-0.124330494,3.008317162
TCGA-DK-A1A7-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.751001868,0.199728538
TCGA-VQ-AA69-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.033361468,-3.450876545
TCGA-BP-5199-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.235535588,-5.425002645
TCGA-CQ-6227-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.559226069,0.45277061
TCGA-BA-A6DL-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.367891345,1.741347362
TCGA-Z6-A9VB-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,-6.091260466,2.32309692
TCGA-BR-6706-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-2.750717435,-2.077493023
TCGA-49-AARR-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.640246186,-2.427836489
