,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
HCM-CSHL-0184-C25-85A,HCM-CSHL-0184-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.766703877,-2.841032814
HCM-CSHL-0186-C25-85A,HCM-CSHL-0186-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.7757583,-2.820122789
HCM-CSHL-0187-C25-85A,HCM-CSHL-0187-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-3.121614013,-3.053849529
HCM-CSHL-0189-C25-85A,HCM-CSHL-0189-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-3.213361296,-3.015368294
HCM-CSHL-0191-C25-85A,HCM-CSHL-0191-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.816959414,-2.73453338
HCM-CSHL-0192-C25-85A,HCM-CSHL-0192-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.984036717,-2.994001697
HCM-CSHL-0193-C25-85A,HCM-CSHL-0193-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.697090659,-2.783952068
HCM-CSHL-0237-C18-85A,HCM-CSHL-0237-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.961782012,-2.752876352
HCM-CSHL-0238-C18-85A,HCM-CSHL-0238-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.851781878,-2.746091436
HCM-CSHL-0239-C18-85A,HCM-CSHL-0239-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.909026179,-2.720103096
HCM-CSHL-0240-C18-85A,HCM-CSHL-0240-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.409072909,-3.401549887
HCM-CSHL-0242-C18-85A,HCM-CSHL-0242-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-4.492918048,-3.439107727
HCM-CSHL-0243-C18-85A,HCM-CSHL-0243-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.986255202,-2.663935732
HCM-CSHL-0244-C20-85A,HCM-CSHL-0244-C20,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.969921622,-2.728319239
HCM-CSHL-0245-C18-85A,HCM-CSHL-0245-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.982826266,-2.685063671
HCM-CSHL-0245-C18-85M,HCM-CSHL-0245-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.960691962,-2.710277866
HCM-CSHL-0246-C19-85A,HCM-CSHL-0246-C19,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.643593344,-2.808736872
HCM-CSHL-0247-C18-85A,HCM-CSHL-0247-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.957376513,-2.752198767
HCM-CSHL-0247-C18-85M,HCM-CSHL-0247-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.8163977,-2.696130108
HCM-CSHL-0248-C19-85A,HCM-CSHL-0248-C19,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.960190806,-2.712793421
HCM-CSHL-0250-C50-85C,HCM-CSHL-0250-C50,Breast Cancer,HCMI Model,BRCA,Breast Cancer,4.0445151,-1.681123923
HCM-CSHL-0255-C18-85F,HCM-CSHL-0255-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.865880523,-2.832526277
HCM-CSHL-0257-C18-85A,HCM-CSHL-0257-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.852660212,-2.638277124
HCM-CSHL-0258-C18-85D,HCM-CSHL-0258-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.908183131,-2.688665937
HCM-CSHL-0261-C50-85D,HCM-CSHL-0261-C50,Breast Cancer,HCMI Model,BRCA,Breast Cancer,4.124850002,-1.678878378
HCM-CSHL-0317-C18-85A,HCM-CSHL-0317-C18,Colorectal Cancer,HCMI Model,COAD,Colon/Colorectal Cancer,-5.312986407,-3.041974377
HCM-CSHL-0322-C20-85A,HCM-CSHL-0322-C20,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.947160754,-2.719818662
HCM-CSHL-0323-C20-85A,HCM-CSHL-0323-C20,Colorectal Cancer,HCMI Model,READ,Colon/Colorectal Cancer,-5.948067221,-2.742292236
HCM-CSHL-0366-C50-85B,HCM-CSHL-0366-C50,Breast Cancer,HCMI Model,BRCA,Breast Cancer,-5.17349628,0.691910852
HCM-CSHL-0368-D37-85P,HCM-CSHL-0368-D37,Gallbladder Cancer,HCMI Model,GBAD,Gallbladder Cancer,-2.943334374,-3.051547836
HCM-CSHL-0371-C25-85A,HCM-CSHL-0371-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.87942985,-2.923587393
HCM-CSHL-0372-C25-85A,HCM-CSHL-0372-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.758457455,-2.906705927
HCM-CSHL-0373-C25-85A,HCM-CSHL-0373-C25,Pancreatic Cancer,HCMI Model,PAAD,Pancreatic Cancer,-2.809771571,-2.868416141
