case,tumor_id,tumor_n_wgd,tumor_fraction_diploid,model_id,model_type,model_n_wgd,model_fraction_diploid,cancer_type,loh_union,loh_match,loh_shared,loh_model,loh_tumor,cn_equal,cn_equal_wgd,cn_mean_sq_diff,cn_mean_sq_diff_wgd,cn_correlation,tumor_consensus_purity,tumor_consensus_ploidy,model_consensus_purity,model_consensus_ploidy,is_wgd_tumor,is_wgd_model,wgd_status
HCM-BROD-0100-C15,HCM-BROD-0100-C15-01A,1,0.07947186193782178,HCM-BROD-0100-C15-85A,model,1,0.15232405862619522,ESCA,0.5738478373966238,0.6540577716643742,0.801481800405432,0.026891268858870172,0.17162693073569776,0.47883498075907344,0.47883498075907344,1.1143891948992681,1.1143891948992681,0.5158208400039169,0.436304,2.702797316,0.9927325,2.875,True,True,Both WGD
HCM-BROD-0101-C15,HCM-BROD-0101-C15-06A,0,0.4312649121862835,HCM-BROD-0101-C15-85A,model,1,0.1524496349317403,ESCA,0.576395242451967,0.6616868969810147,0.8049979369606947,0.07317510718834652,0.12182695585095886,0.16207701716022385,0.4720729402171899,1.438901449167933,2.087950780178644,0.6611478746852174,0.1,1.826666667,0.9930915,2.542748162,False,True,Model WGD
HCM-BROD-0103-C71,HCM-BROD-0103-C71-01A,0,0.8704590710941285,HCM-BROD-0103-C71-85B,model,0,0.8138600362377338,GBM,0.13312882335001705,0.6759196873736694,0.9568555693091509,0.01732953016522254,0.025814900525626537,0.8883888878808224,0.8883888878808224,0.13093574785433035,0.13093574785433035,0.6102732892824836,0.958645667,1.907552181,0.996176667,1.967804898,False,False,Both diploid
HCM-BROD-0104-C71,HCM-BROD-0104-C71-01A,0,0.8678937265665644,HCM-BROD-0104-C71-85B,model,0,0.8334140609583266,GBM,0.05051755377356798,0.8931107954545454,0.9946002188615611,0.0027267997775505446,0.0026729813608883627,0.9703322277400084,0.9703322277400084,0.04482234153671364,0.04482234153671364,0.854449849153049,0.8796932,2.02029544,0.986666667,2.047308925,False,False,Both diploid
HCM-BROD-0106-C71,HCM-BROD-0106-C71-02A,0,0.7734782842688768,HCM-BROD-0106-C71-85A,model,0,0.7793086127406131,GBM,0.1848662612345945,0.6061135371179039,0.9271836822560681,0.03334947885833199,0.039466838885599986,0.9341339288983268,0.9341339288983268,0.07241972686998865,0.07241972686998865,0.8191084422625164,0.527067333,1.912487419,0.991981833,1.89190287,False,False,Both diploid
HCM-BROD-0110-C25,HCM-BROD-0110-C25-01A,0,0.9965018029169582,HCM-BROD-0110-C25-85A,model,0,0.7478607179376783,PAAD,0.22998403386972355,0.00109204368174727,0.7702671187413667,0.2295534865364261,0.00017939472220727267,0.8319118821223779,0.8319118821223779,0.16928576613195906,0.16928576613195906,0.06727109186573034,0.3485365,2.000241812,0.9569865,1.842952931,False,False,Both diploid
HCM-BROD-0115-C16,HCM-BROD-0115-C16-01A,0,0.5015158854026515,HCM-BROD-0115-C16-85A,model,0,0.4906445652368907,STAD,0.4066698957716664,0.8209890158366051,0.9272016217282888,0.018154745887375992,0.054643632384335256,0.9108042271836481,0.9108042271836481,0.09181486840418322,0.09181486840418322,0.8385947822928511,0.628690667,1.995721242,0.992571333,1.989025623,False,False,Both diploid
HCM-BROD-0116-C16,HCM-BROD-0116-C16-01A,0,0.43296916204725255,HCM-BROD-0116-C16-85B,model,1,0.0648691315501498,STAD,0.39210304432843585,0.7447042137530311,0.8998977450083419,0.04560213838508871,0.054500116606569435,0.13100830892241935,0.41222203798890916,2.238526870428711,2.083863004108403,0.6005129346894985,0.3553198,2.12316571,0.9768325,3.289192701,False,True,Model WGD
HCM-BROD-0118-C16,HCM-BROD-0118-C16-06A,0,0.7050212582745815,HCM-BROD-0118-C16-85A,model,0,0.7182067703568161,STAD,0.13219597079453924,0.7391776360428823,0.9655203343917622,0.027734424053244354,0.006745241554993452,0.9060915099694234,0.9060915099694234,0.10458282219821667,0.10458282219821667,0.8864472329956274,0.331311,2.145452466,0.995,2.043327709,False,False,Both diploid
HCM-BROD-0120-C15,HCM-BROD-0120-C15-06A,2,0.0003408499721938181,HCM-BROD-0120-C15-85A,model,2,0.00048436574995963617,ESCA,0.4140788977988268,0.6327874534269128,0.8479450334571157,0.12577363973951886,0.026281326803365444,0.2849651002202232,0.2849651002202232,4.113377626814975,4.113377626814975,0.6701438514967695,0.239716,5.211314617,0.984,4.2625,True,True,Both WGD
HCM-BROD-0125-C25,HCM-BROD-0125-C25-01A,0,0.6876737886371384,HCM-BROD-0125-C25-85B,model,1,0.018746748470659994,PAAD,0.24618337728504028,0.8589958463892735,0.9652871212528927,0.030281829108587625,0.004431049638519635,0.1269518497099043,0.39661959218700443,1.8843907990224427,1.7401078297856463,0.5219078124163965,0.3509486,2.016666667,0.979971667,3.182853684,False,True,Model WGD
HCM-BROD-0195-C71,HCM-BROD-0195-C71-01A,1,0.06067129505049961,HCM-BROD-0195-C71-85A,model,2,0.0001614552499865454,GBM,0.17708053029079884,0.993009826765272,0.9987621764167698,0.00026909208331090897,0.0009687314999192723,0.06232468919090103,0.25946904576630053,8.126332362149153,3.1360140429613277,0.591912553314759,0.702005,3.236959057,0.971323833,5.341161507,True,True,Both WGD
HCM-BROD-0196-C71,HCM-BROD-0196-C71-01A,0,0.8452002942073444,HCM-BROD-0196-C71-85A,model,0,0.8446621100407226,GBM,0.0932314371311196,0.9878776217048297,0.9988698132500942,0.0007175788888290907,0.0004126078610767271,0.9987323433538573,0.9987323433538573,0.0017928286852589642,0.0017928286852589642,0.9939595814567939,0.909404,1.935713606,0.9894145,1.884809837,False,False,Both diploid
