cancer_type,gene,event,note,count
COAD,SF1,missense,both,2
COAD,SF1,truncating,both,2
COAD,SMAD2,truncating,both,2
COAD,PTCH1,missense,both,2
COAD,NIPBL,truncating,both,2
COAD,NIPBL,truncating,model-only,2
COAD,MAP3K1,missense,both,2
COAD,MAX,missense,both,2
COAD,NUP133,missense,both,2
COAD,MED12,missense,both,2
COAD,MAP2K4,truncating,both,2
COAD,PTPDC1,missense,both,2
COAD,PPM1D,truncating,both,2
COAD,RARA,missense,model-only,2
COAD,RHOA,missense,both,2
COAD,SETBP1,missense,both,2
COAD,POLQ,missense,model-only,2
COAD,SCAF4,missense,both,2
COAD,SCAF4,missense,model-only,2
COAD,PDS5B,truncating,model-only,2
COAD,PGR,missense,model-only,2
COAD,CIC,truncating,both,2
COAD,CNBD1,missense,both,2
COAD,CHD3,missense,model-only,2
COAD,CHD8,truncating,both,2
COAD,PMS2,missense,both,2
COAD,POLE,truncating,both,2
SKCM,MGA,missense,tumor-only,2
SKCM,HRAS,missense,both,2
SKCM,HUWE1,missense,tumor-only,2
COAD,SIN3A,missense,both,2
COAD,TERT,truncating,both,2
COAD,TET2,missense,tumor-only,2
COAD,CTCF,truncating,both,2
COAD,COL5A1,missense,model-only,2
UCEC,CHD4,missense,both,2
UCEC,FOXA1,missense,both,2
UCEC,FLNA,missense,both,2
UCEC,FLNA,missense,tumor-only,2
UCEC,HUWE1,missense,both,2
COAD,MTOR,missense,both,2
COAD,ERBB4,missense,both,2
UCEC,KMT2D,truncating,both,2
UCEC,ARID5B,truncating,both,2
UCEC,GRIN2D,missense,tumor-only,2
UCEC,ELF3,missense,model-only,2
UCEC,EPHA2,truncating,both,2
UCEC,EGFR,missense,tumor-only,2
UCEC,EPAS1,missense,model-only,2
UCEC,CHD8,truncating,model-only,2
UCEC,CTCF,missense,both,2
STAD,ZFHX3,missense,model-only,2
STAD,TAF1,missense,both,2
UCEC,SMC1A,missense,both,2
UCEC,DAZAP1,truncating,model-only,2
UCEC,CARD11,missense,both,2
UCEC,CCNE1,hlamp,both,2
UCEC,ACVR1,missense,model-only,2
UCEC,ARID5B,missense,both,2
COAD,FGFR1,missense,both,2
COAD,GRIN2D,missense,both,2
COAD,HGF,missense,both,2
COAD,FUBP1,missense,both,2
COAD,PIK3R1,missense,both,2
UCEC,AMER1,missense,both,2
TVA,PLCG1,missense,model-only,2
TVA,HGF,missense,tumor-only,2
COAD,EZH2,truncating,both,2
COAD,FAT1,missense,both,2
COAD,EPHA3,truncating,both,2
COAD,ERBB2,hlamp,model-only,2
COAD,MGA,truncating,both,2
COAD,EPHA3,missense,both,2
UCEC,PIK3R1,truncating,both,2
PAAD,KMT2C,missense,model-only,2
COAD,FBXW7,truncating,both,2
COAD,KMT2B,missense,both,2
COAD,MSH6,missense,both,2
COAD,KMT2C,truncating,model-only,2
COAD,KMT2D,missense,both,2
COAD,KIT,missense,both,2
COAD,EP300,missense,model-only,2
COAD,EZH2,missense,both,2
